"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FGLBJAKE_02275",2999.90697692289,2.51781609508525,0.0690415441807869,36.4681312528626,3.55012528245775e-291,5.54514133792585e-290
"FGLBJAKE_00939",4144.43999572543,-2.35676835070275,0.0646968348429192,-36.4278771353323,1.54138723783154e-290,2.39456590352857e-289
"FGLBJAKE_02353",118819.633932533,-2.24229694591393,0.0615801339179805,-36.4126675804322,2.68326927996475e-290,4.14608382291327e-289
"FGLBJAKE_00557",2554.52188096284,3.0768220796365,0.0848498875585433,36.2619464582508,6.44179364513081e-288,9.90038231877323e-287
"FGLBJAKE_00311",2211.80097214434,-2.66921841102116,0.0736969253134826,-36.21885715947,3.07400910692244e-287,4.69930966664633e-286
"FGLBJAKE_01053",6928.80665343637,2.52930681923085,0.0698377955987911,36.2168765142786,3.3028044977761e-287,5.02235985534842e-286
"FGLBJAKE_00253",15967.0015205053,2.19187789208747,0.0606157372598743,36.1602117069098,2.57118577401731e-286,3.88925679711882e-285
"FGLBJAKE_01905",6272.78886821915,2.19389748776327,0.0612310124441023,35.8298417777442,3.78967519225321e-281,5.70236989661557e-280
"FGLBJAKE_00340",860.073167535814,4.42152361830348,0.123526789951056,35.7940461340846,1.36698119054983e-280,2.04619996960427e-279
"FGLBJAKE_00330",2825.77107831831,2.33916883244716,0.0655945384601587,35.6610304357572,1.58958872313169e-278,2.36708704159611e-277
"FGLBJAKE_01825",772.023605702202,4.9776647798848,0.13982440457157,35.5993990829901,1.4312606019988e-277,2.12033142790956e-276
"FGLBJAKE_02855",1951.29099821151,-2.68428444155185,0.0754817138240452,-35.5620494761044,5.41151842351874e-277,7.9757456149707e-276
"FGLBJAKE_02083",923.153645000194,-4.20518453676603,0.11858600178698,-35.4610533570392,1.9595756744399e-275,2.87337780017361e-274
"FGLBJAKE_02629",9753.34902121566,2.86333013796392,0.0808050643446439,35.4350332022687,4.93239367348877e-275,7.19578650639935e-274
"FGLBJAKE_02918",6671.43970406821,2.70748439794725,0.0766682824780146,35.3142696097783,3.54675328524824e-273,5.14816613222396e-272
"FGLBJAKE_00985",9895.77054921481,7.26493105704373,0.207073693731903,35.0837951751109,1.19089673488578e-269,1.719918199026e-268
"FGLBJAKE_03059",4319.84624548082,2.59944553421981,0.0743626533665412,34.9563311223831,1.03766127607783e-267,1.49111925372385e-266
"FGLBJAKE_01106",766.823258693115,5.02680775122739,0.143989458232067,34.9109428769828,5.07254694153965e-267,7.25298502984326e-266
"FGLBJAKE_01094",2993.72311219112,-2.33701878184041,0.0669480728088537,-34.90793212992,5.63519998561025e-267,8.01760631616033e-266
"FGLBJAKE_01142",3999.43334396994,-2.17251248255072,0.0622911349740748,-34.8767522610546,1.67410440380054e-266,2.37013598843485e-265
"FGLBJAKE_02399",13132.8125122859,-2.16942263118486,0.0622356713309122,-34.8581863871904,3.20001332173797e-266,4.50825406209555e-265
"FGLBJAKE_00878",1649.6974041194,2.58030592648265,0.0745592809276017,34.6074411445594,1.9524984101317e-262,2.73730752717976e-261
"FGLBJAKE_01066",19800.0417598096,-1.84748606081556,0.0534177363792416,-34.5856299057536,4.15508332953951e-262,5.79694635393037e-261
"FGLBJAKE_00779",2923.55240333933,2.6150938991216,0.0758170757116397,34.4921493552161,1.05187967267937e-260,1.46043583540121e-259
"FGLBJAKE_00481",6686.90358599066,-2.65205834211511,0.0773615095619376,-34.2813675318965,1.48742513058621e-257,2.05522106985806e-256
"FGLBJAKE_00413",3115.72716976229,-2.11618121766935,0.0619731289694182,-34.1467544540735,1.49401054164998e-255,2.05444320416365e-254
"FGLBJAKE_00231",8192.84802932513,2.35937045563405,0.0693380643723023,34.0270596964706,8.86763891431432e-254,1.21359972570187e-252
"FGLBJAKE_01869",29112.5933999806,-2.28329605747589,0.0674088960832806,-33.8723253182337,1.70299377034151e-251,2.31962279429455e-250
"FGLBJAKE_02910",1575.72370199181,3.02952687375519,0.0895900950812726,33.8154220174331,1.17035743093976e-250,1.58660719647211e-249
"FGLBJAKE_00714",1169.81273817544,2.98272308836458,0.0882419933624472,33.8016286204378,1.86647361881045e-250,2.51842496735269e-249
"FGLBJAKE_02132",2005.11700444605,2.77214028722621,0.0821381540997084,33.749727122685,1.07897124090141e-249,1.44904829268722e-248
"FGLBJAKE_02882",7362.75817811883,-2.0273402522383,0.0602079283898387,-33.6723137044599,1.470203199106e-248,1.96528557871192e-247
"FGLBJAKE_02190",6096.18362556174,-2.42675638575584,0.0721183641304327,-33.6496316162528,3.15684915755538e-248,4.20036318463618e-247
"FGLBJAKE_00816",4087.59339788475,-2.30254451046761,0.0685541740445749,-33.5872256147446,2.57753644223485e-247,3.41375102994606e-246
"FGLBJAKE_00480",1329.87831632176,-2.77658207714556,0.0827227024397006,-33.5649343560736,5.45182213710174e-247,7.18740221194056e-246
"FGLBJAKE_02337",930.316862000703,3.79764955881261,0.113415145406515,33.4845010796455,8.10322927303942e-246,1.06341008816052e-244
"FGLBJAKE_00759",2947.65442229808,-2.23730059707623,0.0668505445033206,-33.4672008088895,1.44677180105454e-245,1.89001007101397e-244
"FGLBJAKE_01789",17968.3373693278,-2.17059706180837,0.0648597227560569,-33.4660243610996,1.50492271261643e-245,1.95708048690481e-244
"FGLBJAKE_01693",6643.21785874889,-1.93335063741779,0.057875614377841,-33.4052719474546,1.14943042477416e-244,1.4880464147752e-243
"FGLBJAKE_00505",13494.5603815209,-1.96721285283303,0.0590422974043716,-33.3187043749313,2.06956394346327e-243,2.66723173700154e-242
"FGLBJAKE_00414",4278.8731837578,-2.04794046446162,0.0617496866918999,-33.1651960386426,3.42018215977364e-241,4.38821586035242e-240
"FGLBJAKE_01795",21777.3295892189,-2.38725021067898,0.072175687797562,-33.0755450141982,6.67978486092848e-240,8.53231186235931e-239
"FGLBJAKE_00149",2927.26805982295,-2.20223751660859,0.0666642970673627,-33.0347369354735,2.57706145536509e-239,3.27720116049525e-238
"FGLBJAKE_01302",1818.01123674262,-2.64151325465969,0.080101551633432,-32.9770547610366,1.73266548722509e-238,2.19369189880393e-237
