"gene","BHI_mean","Serum_mean","HSerum_mean","BHI_norm","Serum_norm","HSerum_norm","any_insertions"
"FGLBJAKE_00233",0,0,0,0,0,0,FALSE
"FGLBJAKE_00234",0,0,0,0,0,0,FALSE
"FGLBJAKE_00235",0,0,0,0,0,0,FALSE
"FGLBJAKE_00236",74.3333333333333,15.3333333333333,48,742.140960190627,186.602734947041,474.361423874874,TRUE
"FGLBJAKE_00237",0,0,0,0,0,0,FALSE
"FGLBJAKE_00238",0,0,0,0,0,0,FALSE
"FGLBJAKE_00239",0,0,0,0,0,0,FALSE
"FGLBJAKE_00240",314.666666666667,231,484.666666666667,3141.61913192804,2811.21076778912,4789.73271051435,TRUE
"FGLBJAKE_00241",0,0,0,0,0,0,FALSE
"FGLBJAKE_00242",0,0,0,0,0,0,FALSE
"FGLBJAKE_00243",0,0,0,0,0,0,FALSE
"FGLBJAKE_00244",0,0,0,0,0,0,FALSE
"FGLBJAKE_00245",6.66666666666667,0,3.66666666666667,66.5597273713567,0,36.2359421015529,TRUE
"FGLBJAKE_00246",0,0,0,0,0,0,FALSE
"FGLBJAKE_00247",0,0,0,0,0,0,FALSE
"FGLBJAKE_00248",0,0,0,0,0,0,FALSE
"FGLBJAKE_00249",0,16.3333333333333,0,0,198.772478530544,0,TRUE
"FGLBJAKE_00250",0,0.333333333333333,0,0,4.0565811945009,0,TRUE
"FGLBJAKE_00251",0,0,0,0,0,0,FALSE
"FGLBJAKE_00252",0,0,0,0,0,0,FALSE
"FGLBJAKE_00253",0,0,0,0,0,0,FALSE
"FGLBJAKE_00254",1.33333333333333,0,0,13.3119454742713,0,0,TRUE
"FGLBJAKE_00255",0,0,0,0,0,0,FALSE
"FGLBJAKE_00256",73.3333333333333,21.3333333333333,24.3333333333333,732.157001084924,259.621196448058,240.474888492124,TRUE
"FGLBJAKE_00257",0,0,0,0,0,0,FALSE
"FGLBJAKE_00258",0,0,0,0,0,0,FALSE
"FGLBJAKE_00259",0,0,0,0,0,0,FALSE
"FGLBJAKE_00260",38.3333333333333,12,15,382.718432385301,146.036923002032,148.237944960898,TRUE
"FGLBJAKE_00261",0,0,0,0,0,0,FALSE
"FGLBJAKE_00262",0,0,0,0,0,0,FALSE
"FGLBJAKE_00263",0,0,0,0,0,0,FALSE
"FGLBJAKE_00264",0,0,0,0,0,0,FALSE
"FGLBJAKE_00265",44.6666666666667,59.6666666666667,59,445.95017338809,726.128033815661,583.069250179533,TRUE
"FGLBJAKE_00266",39.6666666666667,0,0,396.030377859572,0,0,TRUE
"FGLBJAKE_00267",0,0,0,0,0,0,FALSE
"FGLBJAKE_00268",0,29.3333333333333,49,0,356.979145116079,484.243953538934,TRUE
"FGLBJAKE_00269",0,0,0,0,0,0,FALSE
"FGLBJAKE_00270",0,0,0,0,0,0,FALSE
"FGLBJAKE_00271",0,0,0,0,0,0,FALSE
"FGLBJAKE_00272",0,0,0,0,0,0,FALSE
"FGLBJAKE_00273",0,0,0,0,0,0,FALSE
"FGLBJAKE_00274",0,0,0,0,0,0,FALSE
"FGLBJAKE_00275",11,10,21.6666666666667,109.823550162739,121.697435835027,214.121476054631,TRUE
"FGLBJAKE_00276",25.6666666666667,42,63.3333333333333,256.254950379723,511.129230507113,625.893545390459,TRUE
"FGLBJAKE_00277",0,0,0,0,0,0,FALSE
"FGLBJAKE_00278",0,0,0,0,0,0,FALSE
"FGLBJAKE_00279",0,0,0,0,0,0,FALSE
"FGLBJAKE_00280",0,0,0,0,0,0,FALSE
